candidate,county,precinct,Bennet,Bennet,Bennet,Biden,Biden,Biden,Bloomberg,Bloomberg,Bloomberg,Buttigieg,Buttigieg,Buttigieg,Delaney,Delaney,Delaney,Gabbard,Gabbard,Gabbard,Klobuchar,Klobuchar,Klobuchar,Patrick,Patrick,Patrick,Sanders,Sanders,Sanders,Steyer,Steyer,Steyer,Warren,Warren,Warren,Yang,Yang,Yang,Other,Other,Other,Uncommitted,Uncommitted,Uncommitted
subhead,,,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
46,Benton,Belle Plaine 1,0.0,0.0,0.0,8.0,8.0,0.15,0.0,0.0,0.0,5.0,5.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.075,0.0,0.0,0.0,6.0,6.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Benton,Belle Plaine 2,0.0,0.0,0.0,7.0,7.0,0.15,0.0,0.0,0.0,5.0,5.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.075,0.0,0.0,0.0,4.0,4.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Benton,Vinton 1,0.0,0.0,0.0,22.0,22.0,0.375,0.0,0.0,0.0,14.0,14.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.15,0.0,0.0,0.0,12.0,12.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Benton,Benton-Canton-Shellsburg,0.0,0.0,0.0,28.0,31.0,0.6,0.0,0.0,0.0,23.0,29.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.225,4.0,0.0,0.0,15.0,15.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Benton,Polk-Urbana,0.0,0.0,0.0,21.0,25.0,0.45,0.0,0.0,0.0,22.0,27.0,0.525,0.0,0.0,0.0,1.0,0.0,0.0,13.0,14.0,0.225,0.0,0.0,0.0,13.0,17.0,0.3,3.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
51,Benton,Walford,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,6.0,7.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.225,0.0,0.0,0.0,9.0,10.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,Benton,Homer-Monroe-Jackson-Garrison,0.0,0.0,0.0,5.0,5.0,0.15,0.0,0.0,0.0,3.0,3.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Benton,Vinton 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.15,0.0,0.0,0.0,3.0,9.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Benton,Vinton 3,0.0,0.0,0.0,10.0,11.0,0.15,0.0,0.0,0.0,18.0,19.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.15,0.0,0.0,0.0,12.0,12.0,0.225,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
55,Benton,Eden-Harrison-Taylor,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,13.0,15.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,7.0,9.0,0.15,5.0,0.0,0.0,8.0,9.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Benton,Vinton 2,0.0,0.0,0.0,8.0,8.0,0.075,0.0,0.0,0.0,9.0,9.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,8.0,9.0,0.15,0.0,0.0,0.0,7.0,8.0,0.15,1.0,0.0,0.0,6.0,6.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Benton,Big Grove-Union-Van Horne,0.0,0.0,0.0,7.0,7.0,0.075,0.0,0.0,0.0,8.0,8.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.15,0.0,0.0,0.0,12.0,12.0,0.225,0.0,0.0,0.0,7.0,7.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Benton,Total,0.0,0.0,0.0,226.0,245.0,4.65,0.0,0.0,0.0,194.0,228.0,4.35,0.0,0.0,0.0,3.0,0.0,0.0,93.0,82.0,1.5,0.0,0.0,0.0,159.0,179.0,3.525,22.0,0.0,0.0,94.0,65.0,0.975,17.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0
59,Black Hawk,WL 1-5,0.0,0.0,0.0,15.0,16.0,0.404,0.0,0.0,0.0,10.0,14.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.202,0.0,0.0,0.0,24.0,25.0,0.404,7.0,0.0,0.0,19.0,20.0,0.404,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Black Hawk,CF W5 P1,0.0,0.0,0.0,39.0,42.0,0.404,0.0,0.0,0.0,51.0,57.0,0.606,0.0,0.0,0.0,0.0,0.0,0.0,49.0,55.0,0.606,0.0,0.0,0.0,43.0,45.0,0.404,9.0,0.0,0.0,53.0,57.0,0.606,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Black Hawk,CF W2 P2 & CF Twp,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,72.0,76.0,0.808,0.0,0.0,0.0,0.0,0.0,0.0,44.0,58.0,0.606,0.0,0.0,0.0,80.0,87.0,1.01,9.0,0.0,0.0,38.0,42.0,0.404,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
62,Black Hawk,WL 1-6,0.0,0.0,0.0,34.0,37.0,0.606,0.0,0.0,0.0,30.0,37.0,0.404,0.0,0.0,0.0,3.0,0.0,0.0,32.0,41.0,0.606,0.0,0.0,0.0,34.0,39.0,0.606,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Black Hawk,Eagle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Black Hawk,Mt Vernon,0.0,0.0,0.0,9.0,11.0,0.202,0.0,0.0,0.0,6.0,9.0,0.202,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.202,0.0,0.0,0.0,7.0,10.0,0.202,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
